[2024-03-26 22:35:48.166] [INFO]: cpu memory available: 1870.58 GB, disk space available: 22192.04 GB, keep dataset in memory: True.
[2024-03-26 22:40:30.980] [INFO]: cpu memory available: 1890.55 GB, disk space available: 22184.81 GB, keep dataset in memory: True.
[2024-03-26 22:52:11.816] [INFO]: cpu memory available: 1890.39 GB, disk space available: 22153.79 GB, keep dataset in memory: True.
[2024-03-26 22:57:14.538] [INFO]: cpu memory available: 1888.83 GB, disk space available: 22136.07 GB, keep dataset in memory: True.
[2024-03-26 22:57:27.581] [INFO]: using device: cuda 
[2024-03-26 22:57:29.865] [INFO]: train dataset size: 6820976, steps per epoch:426311; validation dataset size: 18487, steps per validation: 1155; datalodater num_workers: 0.
[2024-03-26 22:57:38.486] [INFO]: training loss: epoch:0, step:0, loss:11.106313705444336, device:cuda
[2024-03-26 22:57:51.535] [INFO]: training loss: epoch:0, step:50, loss:8.844476699829102, device:cuda
[2024-03-26 22:58:01.522] [INFO]: training loss: epoch:0, step:100, loss:7.4927263259887695, device:cuda
[2024-03-26 22:58:10.617] [INFO]: training loss: epoch:0, step:150, loss:7.145134449005127, device:cuda
[2024-03-26 22:58:20.434] [INFO]: training loss: epoch:0, step:200, loss:7.181544303894043, device:cuda
[2024-03-26 22:58:30.375] [INFO]: training loss: epoch:0, step:250, loss:7.0453009605407715, device:cuda
[2024-03-26 22:58:40.107] [INFO]: training loss: epoch:0, step:300, loss:6.889110565185547, device:cuda
[2024-03-26 22:58:50.359] [INFO]: training loss: epoch:0, step:350, loss:6.907419681549072, device:cuda
[2024-03-26 22:59:00.075] [INFO]: training loss: epoch:0, step:400, loss:7.088277339935303, device:cuda
[2024-03-26 22:59:11.079] [INFO]: training loss: epoch:0, step:450, loss:6.5880208015441895, device:cuda
[2024-03-26 22:59:20.606] [INFO]: training loss: epoch:0, step:500, loss:6.495323657989502, device:cuda
[2024-03-26 22:59:30.234] [INFO]: training loss: epoch:0, step:550, loss:6.542721748352051, device:cuda
[2024-03-26 22:59:40.180] [INFO]: training loss: epoch:0, step:600, loss:6.307291507720947, device:cuda
[2024-03-26 22:59:49.814] [INFO]: training loss: epoch:0, step:650, loss:6.301817893981934, device:cuda
[2024-03-26 22:59:59.437] [INFO]: training loss: epoch:0, step:700, loss:6.309847831726074, device:cuda
[2024-03-26 23:00:10.424] [INFO]: training loss: epoch:0, step:750, loss:6.342198371887207, device:cuda
[2024-03-26 23:00:20.475] [INFO]: training loss: epoch:0, step:800, loss:6.503492832183838, device:cuda
[2024-03-26 23:00:29.733] [INFO]: training loss: epoch:0, step:850, loss:6.477728366851807, device:cuda
[2024-03-26 23:00:39.484] [INFO]: training loss: epoch:0, step:900, loss:6.0410332679748535, device:cuda
[2024-03-26 23:00:49.203] [INFO]: training loss: epoch:0, step:950, loss:6.331954002380371, device:cuda
[2024-03-26 23:00:58.390] [INFO]: training loss: epoch:0, step:1000, loss:5.876978874206543, device:cuda
[2024-03-26 23:01:07.721] [INFO]: training loss: epoch:0, step:1050, loss:6.272632598876953, device:cuda
[2024-03-26 23:01:18.005] [INFO]: training loss: epoch:0, step:1100, loss:6.063871383666992, device:cuda
[2024-03-26 23:01:27.942] [INFO]: training loss: epoch:0, step:1150, loss:6.400981903076172, device:cuda
[2024-03-26 23:01:37.292] [INFO]: training loss: epoch:0, step:1200, loss:6.0998735427856445, device:cuda
[2024-03-26 23:01:46.612] [INFO]: training loss: epoch:0, step:1250, loss:6.05257511138916, device:cuda
[2024-03-26 23:01:56.206] [INFO]: training loss: epoch:0, step:1300, loss:6.30872106552124, device:cuda
[2024-03-26 23:02:05.600] [INFO]: training loss: epoch:0, step:1350, loss:5.981160640716553, device:cuda
[2024-03-26 23:02:15.279] [INFO]: training loss: epoch:0, step:1400, loss:6.103652000427246, device:cuda
[2024-03-26 23:02:24.546] [INFO]: training loss: epoch:0, step:1450, loss:5.93507194519043, device:cuda
[2024-03-26 23:02:33.667] [INFO]: training loss: epoch:0, step:1500, loss:5.8143744468688965, device:cuda
[2024-03-26 23:02:42.893] [INFO]: training loss: epoch:0, step:1550, loss:5.648152828216553, device:cuda
[2024-03-26 23:02:52.066] [INFO]: training loss: epoch:0, step:1600, loss:5.8848724365234375, device:cuda
[2024-03-26 23:03:01.133] [INFO]: training loss: epoch:0, step:1650, loss:5.935069561004639, device:cuda
[2024-03-26 23:03:10.193] [INFO]: training loss: epoch:0, step:1700, loss:5.668810844421387, device:cuda
[2024-03-26 23:03:19.388] [INFO]: training loss: epoch:0, step:1750, loss:5.810185432434082, device:cuda
[2024-03-26 23:03:28.949] [INFO]: training loss: epoch:0, step:1800, loss:5.353759288787842, device:cuda
[2024-03-26 23:03:38.070] [INFO]: training loss: epoch:0, step:1850, loss:5.318737030029297, device:cuda
[2024-03-26 23:03:47.467] [INFO]: training loss: epoch:0, step:1900, loss:5.460961818695068, device:cuda
[2024-03-26 23:03:56.846] [INFO]: training loss: epoch:0, step:1950, loss:5.3088154792785645, device:cuda
[2024-03-26 23:04:06.236] [INFO]: training loss: epoch:0, step:2000, loss:5.626224517822266, device:cuda
[2024-03-26 23:04:15.406] [INFO]: training loss: epoch:0, step:2050, loss:5.996277809143066, device:cuda
[2024-03-26 23:04:25.053] [INFO]: training loss: epoch:0, step:2100, loss:5.554305553436279, device:cuda
[2024-03-26 23:04:34.981] [INFO]: training loss: epoch:0, step:2150, loss:5.320849418640137, device:cuda
[2024-03-26 23:04:44.920] [INFO]: training loss: epoch:0, step:2200, loss:5.581225395202637, device:cuda
[2024-03-26 23:04:55.094] [INFO]: training loss: epoch:0, step:2250, loss:5.25581169128418, device:cuda
[2024-03-26 23:05:05.240] [INFO]: training loss: epoch:0, step:2300, loss:5.22456693649292, device:cuda
[2024-03-26 23:05:15.346] [INFO]: training loss: epoch:0, step:2350, loss:5.422830104827881, device:cuda
[2024-03-26 23:05:25.101] [INFO]: training loss: epoch:0, step:2400, loss:5.295168876647949, device:cuda
[2024-03-26 23:05:35.072] [INFO]: training loss: epoch:0, step:2450, loss:5.542115688323975, device:cuda
[2024-03-26 23:05:44.933] [INFO]: training loss: epoch:0, step:2500, loss:5.214437961578369, device:cuda
[2024-03-26 23:05:54.647] [INFO]: training loss: epoch:0, step:2550, loss:5.299741268157959, device:cuda
